event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes
S6W-26605,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:22Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government how many NHS staff have worked within the HR function of the NHS in each of the last 10 years, also broken down by NHS board.",TRUE,,,
S6W-26602,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:23Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government what work is currently being prioritised by the Centre for Sustainable Delivery, which is based at the Golden Jubilee National Hospital special NHS board.",TRUE,,,
S6W-26622,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:24Z,Miles Briggs,Scottish Conservative and Unionist Party,Lothian,To ask the Scottish Government whether it has done any work with the hospitality sector to look at the economic and social impacts of fires affecting hotels.,TRUE,,,
S6W-26627,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:25Z,Maurice Golden,Scottish Conservative and Unionist Party,North East Scotland,"To ask the Scottish Government whether a veterinary surgery is regarded as a public place for the purposes of the rules regarding XL Bully dogs, and, if so, what allowances have been made to allow muzzles to be removed for the purposes of examination by a vet.",TRUE,,,
S6W-26603,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:25Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government, further to the comment made by the former Cabinet Secretary for NHS Recovery, Health and Social Care to the Scottish Parliament's Health, Social Care and Sport Committee on 16 January 2024 that the Scottish Government is ""taking forward a range of work to encourage the adoption of good practice where it has been established in one board"", what examples it can provide of such work.",TRUE,,,
S6W-26604,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:25Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government what recent work the Chief Pharmaceutical Officer has done in relation to consistency in prescribing across the NHS, and when they last updated the Cabinet Secretary for NHS Recovery, Health and Social Care on any such work.",TRUE,,,
S6W-26657,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:14Z,Emma Harper,Scottish National Party,South Scotland,"To ask the Scottish Government, in light of the reported announcement from DADDS dental practice in Dumfries that it is to close, which will reportedly lead to the deregistration of 4,000 NHS patients, whether it will provide an update on what steps it is taking to support access to dental care for people residing within the Dumfries and Galloway Council area.",TRUE,,,
S6W-26635,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:15Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government what its position is on whether NHS boards have been offered sufficient support to implement the Health and Care (Staffing) (Scotland) Act 2019.,TRUE,,,
S6W-26653,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:15Z,Tess White,Scottish Conservative and Unionist Party,North East Scotland,"To ask the Scottish Government whether it will provide an update on the work of the Mental Health and Capacity Reform Programme, including whether, as part of this programme, any decisions have been taken in relation to changes to the Mental Health (Care and Treatment) (Scotland) Act 2003.",TRUE,,,
S6W-26651,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:15Z,Tess White,Scottish Conservative and Unionist Party,North East Scotland,"To ask the Scottish Government what assessment has been made of the effectiveness of NHS weight management services in preventing and reversing type 2 diabetes, in light of the reportedly significant increase in referrals since 2019.",TRUE,,,
S6W-26658,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:16Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government what action it is taking to address the reported lack of primary care services and GPs in Lanark and the surrounding areas.,TRUE,,,
S6W-26633,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:16Z,Ben Macpherson,Scottish National Party,Edinburgh Northern and Leith,"To ask the Scottish Government how it plans to address the barriers to the implementation of the NICE guidelines on myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) identified in the recent survey of NHS boards in Scotland, and how it is fostering consensus amongst the people involved in implementing the NICE guidelines.",TRUE,,,
S6W-26661,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:17Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government what work it has undertaken to encourage small and medium-size companies to consider apprenticeship places as an opportunity to grow their workforce.,TRUE,,,
S6W-26647,2024-04-30T00:00:00Z,NA,2024-04-02T09:42:56Z,Willie Coffey,Scottish National Party,Kilmarnock and Irvine Valley,To ask the Scottish Government what steps it is taking to increase private investment in housing.,FALSE,,,
S6W-26620,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:21Z,Sarah Boyack,Scottish Labour,Lothian,"To ask the Scottish Government how many new overflow monitors have been installed by Scottish Water since its Improving Urban Waters Routemap was published in 2021, broken down by year.",FALSE,,,
S6W-26626,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:22Z,Maurice Golden,Scottish Conservative and Unionist Party,North East Scotland,"To ask the Scottish Government what options exist to expedite court cases involving XL Bully dogs, in order to avoid any long periods of kennelling.",FALSE,,,
S6W-26624,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:22Z,Miles Briggs,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government whether it will provide an indicative timeline for when (a) it will respond to the proposed consultation on fire safety, following the work of the Building and Fire Safety Expert Working Group, and (b) it will look to implement any recommendations resulting from such a consultation.",FALSE,,,
S6W-26609,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:22Z,Graham Simpson,Scottish Conservative and Unionist Party,Central Scotland,"To ask the Scottish Government whether it will provide an update on how it plans to meet its target of achieving a 20% reduction in car kilometres travelled by 2030, in light of 2022 having seen the highest recorded level of licensed motor vehicles, according to the Scottish Transport Statistics 2023.",FALSE,,,
S6W-26614,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:23Z,Graham Simpson,Scottish Conservative and Unionist Party,Central Scotland,To ask the Scottish Government when it will make a decision on the proposals to reduce journey times between the Central Belt and Aberdeen by 20 minutes.,FALSE,,,
S6W-26618,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:23Z,Graham Simpson,Scottish Conservative and Unionist Party,Central Scotland,"To ask the Scottish Government how much the temporary relocation of the interim chief executive of Ferguson Marine will cost, and who will be responsible for paying for any such costs.",FALSE,,,
S6W-26615,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:23Z,Graham Simpson,Scottish Conservative and Unionist Party,Central Scotland,To ask the Scottish Government what consideration it has given to subsidised bus travel for people in employment.,FALSE,,,
S6W-26613,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:23Z,Graham Simpson,Scottish Conservative and Unionist Party,Central Scotland,"To ask the Scottish Government for what reason bus travel reportedly receives less funding than rail travel when it is the most popular form of public transport, according to the Scottish Transport Statistics 2023.",FALSE,,,
S6W-26616,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:23Z,Graham Simpson,Scottish Conservative and Unionist Party,Central Scotland,"To ask the Scottish Government whether it will provide an update on the business plan for the future of Ferguson Marine, Port Glasgow.",FALSE,,,
