event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes
S6W-28511,2024-08-06T00:00:00Z,NA,2024-07-09T15:56:41Z,Craig Hoy,Scottish Conservative and Unionist Party,South Scotland,To ask the Scottish Government what assessment it has made of (a) any pressures being experienced by the Emergency Department at the Royal Infirmary of Edinburgh and (b) the impact of any such pressures on the provision of pre-hospital critical care.,TRUE,,,
S6W-28510,2024-08-06T00:00:00Z,NA,2024-07-09T15:56:45Z,Craig Hoy,Scottish Conservative and Unionist Party,South Scotland,"To ask the Scottish Government what recent discussions it has had with the Scottish Ambulance Service regarding advanced, doctor-led, pre-hospital critical care capabilities in NHS board areas, including NHS Lothian.",TRUE,,,
S6W-28508,2024-08-06T00:00:00Z,NA,2024-07-09T15:56:46Z,Craig Hoy,Scottish Conservative and Unionist Party,South Scotland,"To ask the Scottish Government what engagement it has had with NHS Lothian regarding the reported withdrawal of Medic 1 advanced, doctor-led, pre-hospital critical care capabilities within the NHS board area.",TRUE,,,
S6W-28509,2024-08-06T00:00:00Z,NA,2024-07-09T15:56:46Z,Craig Hoy,Scottish Conservative and Unionist Party,South Scotland,To ask the Scottish Government what plans it has to harmonise the provision of consultant doctor-led Emergency Medical Retrieval Services across NHS boards.,TRUE,,,
S6W-28505,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:26Z,Craig Hoy,Scottish Conservative and Unionist Party,South Scotland,"To ask the Scottish Government what data it holds on the number of student admission appeals that were (a) successful and (b) unsuccessful in each of the last five years, broken down by university.",FALSE,,,
S6W-28534,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:26Z,Ariane Burgess,Scottish Green Party,Highlands and Islands,To ask the Scottish Government what progress has been made on the eight action points in its Fairer Deliveries For All: An Action Plan.,FALSE,,,
S6W-28527,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:27Z,Mark Griffin,Scottish Labour,Central Scotland,To ask the Scottish Government whether it will provide detailed information on (a) the application process and (b) eligibility for its reopened Open Market Shared Equity scheme.,FALSE,,,
S6W-28526,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:27Z,Mark Griffin,Scottish Labour,Central Scotland,To ask the Scottish Government whether it will provide a summary of any evidence-based assessments it made of the possible outcomes of the reopening its Open Market Shared Equity scheme.,FALSE,,,
S6W-28538,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:28Z,Paul Sweeney,Scottish Labour,Glasgow,"To ask the Scottish Government whether all Scottish Ministers routinely use ministerial despatch boxes and folders, similar to UK Government ministers.",FALSE,,,
S6W-28529,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:28Z,Mark Griffin,Scottish Labour,Central Scotland,To ask the Scottish Government whether it will provide a breakdown of any additional costs that have been accrued as a result of the reported delays to completion of roadworks on the M8 Woodside Viaduct.,FALSE,,,
S6W-28516,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:29Z,Foysol Choudhury,Scottish Labour,Lothian,To ask the Scottish Government whether it has assessed the contribution of the cost of administering Sheriff Officer fees for recovering water and sewage charge debts to public sector debt.,FALSE,,,
S6W-28515,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:29Z,Foysol Choudhury,Scottish Labour,Lothian,To ask the Scottish Government whether it has considered any further increase in the rate of relief available via the Water Charges Reduction Scheme.,FALSE,,,
S6W-28522,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:30Z,Mark Griffin,Scottish Labour,Central Scotland,To ask the Scottish Government what estimate it has made regarding the level of combustible façade material that will remain in situ on buildings in Scotland following the introduction of the Single Building Assessment Specification Document.,FALSE,,,
S6W-28504,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:30Z,Craig Hoy,Scottish Conservative and Unionist Party,South Scotland,To ask the Scottish Government whether it has any plans to review the system of student admission appeals.,FALSE,,,
S6W-28530,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:31Z,Mark Griffin,Scottish Labour,Central Scotland,To ask the Scottish Government whether it will provide a breakdown of the reasons for the reported delays in completion of roadworks on the M8 Woodside Viaduct.,FALSE,,,
S6W-28514,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:32Z,Foysol Choudhury,Scottish Labour,Lothian,"To ask the Scottish Government how much public money has been spent on the administration of Sheriff Officer fees for the recovery of water and sewage charge debts from those in receipt of full Council Tax Reduction (CTR) in each year since CTR was introduced, broken down by year.",FALSE,,,
S6W-28535,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:32Z,Kenneth Gibson,Scottish National Party,Cunninghame North,"To ask the Scottish Government by what date, at the latest, it will have concluded the review and business case for upgrading Ardrossan Harbour.",FALSE,,,
S6W-28523,2024-08-07T00:00:00Z,NA,2024-07-10T16:00:33Z,Mark Griffin,Scottish Labour,Central Scotland,"To ask the Scottish Government, further to the answer to question S6W-26685 by Paul McLennan on 23 April 2024, whether it will define the term “large areas of the façade” in relation to the statement “Where large areas of the façade are being remediated, alterations will be required to comply with current (fire) building regulations including the use of acceptable materials”.",FALSE,,,"S6W-26685: To ask the Scottish Government, further to any conversations that it has had with the wider sector, what its current understanding is of any risks associated with PAS 9980 as a methodology for fire risk appraisal of external wall and cladding construction in the context of the current ban on combustible façade materials in Scotland."
